drugbank_id,gene_symbol
DB00074,FCGR1A
DB00074,FCGR3A
DB00074,FCGR2A
DB00074,FCGR2B
DB00074,FCGR2C
DB00074,FCGR3B
DB00074,C1S
DB00074,C1R
DB00074,C1QA
DB00074,C1QB
DB00074,C1QC
DB00075,CD3D
DB00075,CD3E
DB00075,CD3G
DB00075,CD247
DB00075,FCGR3B
DB00075,C1R
DB00075,C1QA
DB00075,C1QB
DB00075,C1QC
DB00075,FCGR3A
DB00075,C1S
DB00075,FCGR1A
DB00075,FCGR2A
DB00075,FCGR2B
DB00075,FCGR2C
DB00078,MS4A1
DB00078,FCGR3B
DB00078,C1R
DB00078,C1QA
DB00078,C1QB
DB00078,C1QC
DB00078,FCGR3A
DB00078,C1S
DB00078,FCGR1A
DB00078,FCGR2A
DB00078,FCGR2B
DB00078,FCGR2C
DB00081,MS4A1
DB00081,FCGR3B
DB00081,C1R
DB00081,C1QA
DB00081,C1QB
DB00081,C1QC
DB00081,FCGR3A
DB00081,FCGR1A
DB00081,FCGR2A
DB00081,FCGR2B
DB00081,FCGR2C
DB00082,GHR
DB00082,CYP27A1
DB00082,GLUL
DB00082,CYP3A4
DB00082,BCHE
DB00082,CYP4A11
DB00083,SNAP25
DB00086,PLG
DB00086,F2R
DB00086,PLA2G4A
DB00087,CD52
DB00087,FCGR3B
DB00087,C1R
DB00087,C1QA
DB00087,C1QB
DB00087,C1QC
DB00087,FCGR3A
DB00087,FCGR1A
DB00087,FCGR2A
DB00087,FCGR2B
DB00087,FCGR2C
DB00089,FOLH1
DB00091,CAMLG
DB00091,PPP3R2
DB00091,PPIA
DB00091,PPIF
DB00091,CYP3A5
DB00091,CYP3A4
DB00091,CYP2C8
DB00091,CYP2C9
DB00091,CYP2D6
DB00091,ABCB1
DB00091,ABCC3
DB00091,ABCB11
DB00091,ABCC1
DB00091,hROAT1
DB00091,ABCC2
DB00091,ABCG2
DB00091,SLCO1B1
DB00092,CD2
DB00092,C1R
DB00092,C1QA
DB00092,C1QB
DB00092,C1QC
DB00092,FCGR3A
DB00092,FCGR1A
DB00092,FCGR2A
DB00092,FCGR2B
DB00092,FCGR2C
DB00092,FCGR3B
DB00093,AVPR1A
DB00094,FSHR
DB00095,ITGAL
DB00095,FCGR3B
DB00095,C1R
DB00095,C1QA
DB00095,C1QB
DB00095,C1QC
DB00095,FCGR3A
DB00095,FCGR1A
DB00095,FCGR2A
DB00095,FCGR2B
DB00095,FCGR2C
DB00097,LHCGR
DB00097,FSHR
DB00098,CD1A
DB00098,ITGAL
DB00098,CD86
DB00098,FCGR2B
DB00098,CD4
DB00098,ITGB3
DB00099,CSF3R
DB00099,ELA2
DB00100,F10
DB00100,F11
DB00100,F7
DB00100,F8
DB00100,F2
DB00100,LRP1
DB00100,GGCX
DB00102,PDGFRB
DB00102,PDGFRA
DB00102,A2M
DB00104,SSTR1
DB00104,SSTR5
DB00104,SSTR2
DB00104,MPO
DB00105,IFNAR2
DB00105,IFNAR1
DB00105,CYP1A2
DB00106,GNRHR
DB00107,OXTR
DB00107,OXT
DB00107,PREP
DB00108,ITGA4
DB00108,FCGR3B
DB00108,C1R
DB00108,C1QA
DB00108,C1QB
DB00108,C1QC
DB00108,FCGR3A
DB00108,FCGR1A
DB00108,FCGR2A
DB00108,FCGR2B
DB00108,FCGR2C
DB00108,ICAM1
DB00110,FCGR3B
DB00110,C1R
DB00110,C1QA
DB00110,C1QB
DB00110,C1QC
DB00110,FCGR3A
DB00110,FCGR1A
DB00110,FCGR2A
DB00110,FCGR2B
DB00110,FCGR2C
DB00111,IL2RA
DB00111,IL2RB
DB00111,FCGR3B
DB00111,C1R
DB00111,C1QA
DB00111,C1QB
DB00111,C1QC
DB00111,FCGR3A
DB00111,FCGR1A
DB00111,FCGR2A
DB00111,FCGR2B
DB00111,FCGR2C
DB00112,VEGF
DB00112,FCGR3B
DB00112,C1R
DB00112,C1QA
DB00112,C1QB
DB00112,C1QC
DB00112,FCGR3A
DB00112,FCGR1A
DB00112,FCGR2A
DB00112,FCGR2B
DB00112,FCGR2C
DB00113,CEACAM1
DB00114,AGXT2
DB00114,GAD1
DB00114,CBS
DB00114,KYNU
DB00114,SHMT1
DB00114,NFS1
DB00114,GOT1
DB00114,OAT
DB00114,ODC1
DB00114,AADAT
DB00114,ABAT
DB00114,PNPO
DB00114,SGPL1
DB00114,TAT
DB00114,CCBL1
DB00114,THNSL1
DB00114,PYGL
DB00114,SPTLC2
DB00114,CSAD
DB00114,HDC
DB00114,ADC
DB00114,SDS
DB00114,GCAT
DB00114,GLDC
DB00114,GPT
DB00114,PSAT1
DB00114,ALAS1
DB00114,AGXT
DB00114,PDXP
DB00114,SPTLC1
DB00114,CTH
DB00114,BCAT1
DB00114,BCAT2
DB00114,PROSC
DB00114,FTCD
DB00114,GOT2
DB00114,PYGB
DB00114,PYGM
DB00114,DDC
DB00114,GIG18
DB00114,GAD1
DB00114,GAD2
DB00114,DDC
DB00114,PDXDC1
DB00114,CCBL2
DB00114,GADL1
DB00114,AGXT2L2
DB00114,GAD1
DB00114,SHMT2
DB00114,ALAS2
DB00114,GPT2
DB00114,MOCOS
DB00114,SDSL
DB00114,pcap
DB00114,SRR
DB00114,SEPSECS
DB00114,SPTLC3
DB00114,GAD65
DB00114,TLH6
DB00115,MTR
DB00115,MUT
DB00115,MTRR
DB00115,MMAA
DB00115,MMACHC
DB00115,MTHFR
DB00115,MMAB
DB00115,AMN
DB00115,TCN1
DB00115,TCN2
DB00115,CUBN
DB00116,MTHFD1
DB00116,MTHFD2
DB00116,AMT
DB00116,ALDH1L1
DB00116,MTR
DB00116,FTCD
DB00116,ATIC
DB00116,SHMT1
DB00116,SHMT2
DB00116,MTHFR
DB00116,MTFMT
DB00116,ABCC2
DB00117,HDC
DB00117,HARS
DB00117,SLC38A3
DB00117,HAL
DB00118,GNMT
DB00118,AMD1
DB00118,MAT2A
DB00118,CBS
DB00118,MAT1A
DB00118,COMT
DB00118,SRM
DB00119,SLC16A3
DB00119,SLC16A2
DB00119,AGXT2
DB00119,SLC16A5
DB00119,PKLR
DB00119,SLC16A6
DB00119,SLC16A7
DB00119,PDHB
DB00119,PKM2
DB00119,ABAT
DB00119,SLC16A4
DB00119,SLC16A8
DB00119,SLC16A1
DB00119,PC
DB00119,SLC16A7
DB00119,SLC16A1
DB00119,SLC16A3
DB00120,TAT
DB00120,SLC7A8
DB00120,FARSLA
DB00120,PAH
DB00120,FARS2
DB00120,FARSLB
DB00120,TH
DB00121,PCCB
DB00121,HLCS
DB00121,SLC5A6
DB00121,MCCC2
DB00121,ACACB
DB00121,MCCC1
DB00121,PC
DB00121,PCCA
DB00121,ACACA
DB00121,CYP1B1
DB00122,PCYT1B
DB00122,ACHE
DB00122,PCYT1A
DB00122,PLD2
DB00122,BCHE
DB00122,PLD1
DB00122,PHOSPHO1
DB00122,CHRNA7
DB00122,CEPT1
DB00122,CHKB
DB00122,CHAT
DB00122,CHKA
DB00122,CHDH
DB00122,SLC22A5
DB00122,SLC22A4
DB00122,SLC44A1
DB00122,SLC44A4
DB00122,SLC44A2
DB00122,SLC44A3
DB00122,SLC5A7
DB00123,SLC7A1
DB00123,SLC7A4
DB00123,SLC7A3
DB00123,SLC7A2
DB00123,KARS
DB00123,SLC22A4
DB00125,NOS3
DB00125,SLC7A3
DB00125,ADC
DB00125,ASL
DB00125,NOS2A
DB00125,SLC7A1
DB00125,ARG2
DB00125,SLC7A4
DB00125,ASS1
DB00125,SLC22A5
DB00125,SLC22A4
DB00126,PLOD2
DB00126,PHYH
DB00126,PLOD3
DB00126,BBOX1
DB00126,DBH
